Name,GK,CB,CM,ST,RW,LB
C. Fagan,11.8,40.0,56.0,64.0,60.0,42.0
L. Burliga,9.2,67.0,59.0,60.0,60.0,64.0
S. Luna,12.4,59.0,62.0,63.0,66.0,64.0
G. Pezzella,10.2,62.0,55.0,51.0,57.0,64.0
L. Bailly,64.2,,,,,
B. Adjei-Boateng,12.4,64.0,64.0,65.0,63.0,63.0
N. Poulsen,11.2,64.0,64.0,55.0,59.0,65.0
K. Londoño,8.6,56.0,63.0,57.0,63.0,63.0
C. Kammlott,9.8,36.0,55.0,64.0,63.0,42.0
D. Mendoza,11.6,43.0,58.0,64.0,61.0,45.0
R. Hayasaka,10.4,43.0,59.0,60.0,64.0,48.0
J. Husband,12.2,61.0,57.0,55.0,59.0,64.0
N. Tkalčić,10.2,59.0,60.0,59.0,63.0,64.0
P. Salomon,13.8,63.0,64.0,62.0,62.0,63.0
M. Schulze Niehues,64.4,,,,,
M. Friedrich,13.0,64.0,54.0,47.0,46.0,61.0
A. Al Enezi,64.6,,,,,
P. Hatzidiakos,10.8,64.0,50.0,47.0,47.0,59.0
Peter Abradanel,63.8,,,,,
J. Makengo,8.6,62.0,64.0,62.0,63.0,63.0
Z. Gordon,10.2,64.0,51.0,51.0,55.0,64.0
A. Dyer,9.6,60.0,64.0,62.0,63.0,62.0
C. Gustafsson,12.4,58.0,64.0,62.0,62.0,60.0
T. Acar,63.6,,,,,
B. Schenkeveld,11.8,66.0,62.0,55.0,59.0,64.0
N. Körber,64.2,,,,,
E. Lancini,9.2,64.0,40.0,39.0,36.0,57.0
M. Devlin,11.6,64.0,44.0,41.0,37.0,55.0
P. Pawlett,12.4,40.0,58.0,61.0,66.0,47.0
Alvaro Rey,11.8,52.0,60.0,59.0,64.0,56.0
P. Cissé,13.4,64.0,48.0,42.0,39.0,59.0
Josan,9.6,40.0,55.0,60.0,65.0,50.0
P. Dahlberg,64.6,,,,,
M. Kennedy,13.0,54.0,59.0,59.0,63.0,59.0
N. Fitzgerald,11.6,46.0,59.0,62.0,65.0,54.0
Yeray,11.0,60.0,64.0,59.0,58.0,58.0
L. Görtler,13.4,38.0,57.0,64.0,65.0,43.0
S. Dawson,1.0,64.0,64.0,56.0,59.0,64.0
E. Alfonso,62.2,,,,,
K. Larsen,9.2,42.0,56.0,63.0,65.0,51.0
Jo Young Cheol,12.4,60.0,63.0,62.0,64.0,62.0
D. Mariani,11.0,48.0,64.0,61.0,66.0,56.0
Jin Seong Wook,8.6,39.0,53.0,64.0,62.0,42.0
R. Marquez,9.6,64.0,51.0,44.0,45.0,60.0
S. Akasaki,11.2,43.0,59.0,64.0,63.0,46.0
Soriano,63.6,,,,,
A. Khalaf,9.4,64.0,45.0,46.0,41.0,56.0
A. García,11.8,64.0,55.0,54.0,55.0,64.0
D. Calvert-Lewin,10.0,42.0,53.0,64.0,63.0,46.0
S. Alakouch,10.2,58.0,58.0,49.0,57.0,64.0
O. Pehrsson,10.8,64.0,47.0,45.0,42.0,55.0
J. Leudo,11.2,67.0,58.0,53.0,49.0,58.0
J. Brison,12.6,64.0,63.0,58.0,60.0,64.0
G. Marinelli,65.0,,,,,
P. Wiegers,63.8,,,,,
I. Escobar,8.8,60.0,49.0,45.0,53.0,64.0
J. Mårtensson,12.4,62.0,64.0,56.0,59.0,63.0
K. Ntlhe,11.8,64.0,54.0,50.0,54.0,64.0
L. Grozurek,12.0,44.0,57.0,64.0,64.0,49.0
W. Mosquera,65.0,,,,,
T. Endoh,9.6,47.0,62.0,57.0,63.0,55.0
R. McArdle,9.0,64.0,47.0,41.0,40.0,59.0
Jang Seong Jae,7.2,48.0,62.0,63.0,64.0,51.0
V. Ilyin,9.6,45.0,53.0,64.0,59.0,45.0
L. Gil,15.4,50.0,64.0,60.0,64.0,54.0
K. Appiah,8.6,45.0,54.0,64.0,63.0,50.0
A. Filtsov,63.8,,,,,
B. Kluft,9.4,42.0,58.0,61.0,64.0,48.0
Ary Papel,8.8,46.0,58.0,65.0,65.0,50.0
J. Clarke,10.0,58.0,60.0,60.0,65.0,63.0
D. Valoyes,10.0,48.0,58.0,65.0,65.0,53.0
R. Preißinger,11.0,62.0,60.0,50.0,52.0,62.0
Lee Kyu Ro,12.2,65.0,60.0,53.0,58.0,64.0
A. Uludağ,9.8,63.0,62.0,63.0,63.0,64.0
D. Bronn,8.2,64.0,53.0,45.0,48.0,63.0
E. Sarraj,12.6,37.0,57.0,66.0,65.0,43.0
N. Sonko Sundberg,10.0,64.0,52.0,52.0,49.0,59.0
S. Mattila,11.2,63.0,62.0,59.0,60.0,61.0
F. Paghera,11.4,58.0,64.0,57.0,61.0,62.0
T. Bertels,12.0,64.0,59.0,61.0,60.0,64.0
Dani Sotres,65.0,,,,,
S. Emmanuello,8.2,51.0,64.0,57.0,59.0,55.0
T. Knoflach,64.6,,,,,
R. Allen,13.0,65.0,61.0,55.0,60.0,64.0
R. Barrios,10.6,63.0,56.0,52.0,56.0,64.0
T. Nguen,8.2,48.0,56.0,61.0,66.0,56.0
G. Diaz,10.6,64.0,43.0,41.0,38.0,57.0
F. Del Sole,12.0,37.0,61.0,59.0,65.0,45.0
J. Nietfeld,10.8,33.0,52.0,64.0,60.0,38.0
O. Aydoğan,10.2,36.0,57.0,61.0,64.0,43.0
Assis,64.8,,,,,
Jesús Alfaro,8.2,31.0,53.0,60.0,65.0,43.0
Y. Igawa,8.8,64.0,53.0,48.0,46.0,59.0
S. Tekerci,13.6,54.0,61.0,60.0,64.0,60.0
C. Dunkley,13.4,64.0,49.0,50.0,45.0,57.0
C. Vargas,62.4,,,,,
C. Wingert,11.4,66.0,57.0,57.0,55.0,64.0
J. Hinestroza,11.6,36.0,54.0,61.0,64.0,47.0
F. Børsting,9.6,44.0,57.0,61.0,63.0,50.0
J. Cullen,11.2,58.0,64.0,57.0,62.0,61.0
M. Schröter,9.4,61.0,61.0,60.0,64.0,64.0
G. Omae,12.0,41.0,57.0,64.0,65.0,50.0
J. Valencia,11.2,65.0,64.0,56.0,56.0,61.0
B. Johnsen,10.6,38.0,52.0,64.0,61.0,43.0
F. Selemani,8.4,53.0,56.0,61.0,65.0,59.0
T. Hayashi,64.4,,,,,
I. Petryak,10.8,32.0,55.0,57.0,64.0,45.0
G. Gope-Fenepej,10.6,43.0,56.0,65.0,64.0,46.0
D. Serna,10.8,41.0,60.0,62.0,65.0,51.0
C. Tabó,9.2,38.0,57.0,59.0,64.0,46.0
K. Ford,13.4,64.0,43.0,43.0,42.0,58.0
G. Gunning,12.4,64.0,53.0,54.0,54.0,61.0
K. Morisaki,8.2,63.0,61.0,50.0,52.0,58.0
F. Ortíz,9.6,42.0,51.0,64.0,58.0,41.0
J. Steer,64.2,,,,,
M. Schmerböck,10.4,43.0,60.0,61.0,64.0,49.0
J. Hamilton,10.2,43.0,51.0,64.0,59.0,42.0
C. Woodrow,13.8,41.0,54.0,64.0,61.0,44.0
D. Georgievski,12.4,65.0,62.0,61.0,62.0,64.0
Augusto,10.2,65.0,62.0,54.0,60.0,64.0
B. Garnica,10.8,40.0,57.0,61.0,64.0,50.0
Park Dong Jin,10.4,64.0,49.0,47.0,47.0,61.0
P. Tomasik,10.6,64.0,63.0,54.0,59.0,64.0
Lúcio Corteijo,13.8,64.0,45.0,38.0,36.0,60.0
M. Omoh,12.0,41.0,53.0,60.0,65.0,46.0
T. Archibald-Henville,11.8,64.0,48.0,47.0,44.0,57.0
S. Okoli,13.0,40.0,50.0,64.0,59.0,40.0
A. Keita,66.2,,,,,
G. Kobel,63.2,,,,,
M. Fitzgerald,10.8,64.0,53.0,51.0,50.0,61.0
F. Darwish,13.2,62.0,61.0,62.0,65.0,64.0
Ham Seok Min,65.4,,,,,
S. Colombatto,10.8,53.0,64.0,56.0,62.0,55.0
S. Sané,9.0,43.0,48.0,64.0,58.0,43.0
J. Tverskov,11.0,64.0,57.0,52.0,50.0,61.0
M. Solís,65.0,,,,,
R. Sweeney,9.6,64.0,46.0,44.0,41.0,57.0
G. Amiot,13.8,64.0,48.0,42.0,41.0,57.0
M. Troiano,9.0,66.0,64.0,59.0,57.0,64.0
G. Marchegiani,63.4,,,,,
F. Escobar,11.8,64.0,45.0,47.0,44.0,61.0
E. Palmer-Brown,11.2,64.0,50.0,47.0,48.0,61.0
M. Madri,8.4,35.0,60.0,64.0,67.0,44.0
J. McCarthy,63.8,,,,,
T. Dekker,10.8,63.0,57.0,48.0,56.0,64.0
Park Won Jae,13.4,65.0,57.0,51.0,54.0,64.0
E. Boldewijn,11.4,36.0,54.0,62.0,66.0,46.0
F. Dagerstål,10.4,63.0,59.0,52.0,54.0,61.0
B. Straetman,12.4,37.0,58.0,59.0,64.0,47.0
C. Shields,12.4,63.0,61.0,57.0,56.0,61.0
Gálvez,10.6,64.0,57.0,51.0,47.0,58.0
Ewerton,9.2,62.0,60.0,54.0,55.0,61.0
S. Leuko,10.4,62.0,56.0,56.0,57.0,64.0
A. McCormack,10.6,63.0,61.0,52.0,54.0,59.0
A. Esaka,8.2,42.0,57.0,64.0,62.0,47.0
F. Costa,10.0,59.0,62.0,51.0,60.0,64.0
J. Zwischenbrugger,11.8,64.0,55.0,53.0,52.0,61.0
Adnan Vidual,12.0,64.0,53.0,58.0,53.0,61.0
J. Grant,11.2,42.0,57.0,61.0,65.0,49.0
Zizo,9.6,53.0,64.0,55.0,61.0,56.0
F. Acosta,10.6,42.0,58.0,64.0,65.0,47.0
D. Avdić,11.6,48.0,56.0,64.0,58.0,44.0
Nacho Méndez,9.0,51.0,64.0,59.0,64.0,57.0
M. Tauber,14.6,64.0,57.0,56.0,55.0,61.0
D. Bergqvist,9.6,64.0,54.0,47.0,47.0,56.0
H. Da Campo,13.0,54.0,61.0,61.0,64.0,58.0
Y. Iwakami,8.8,50.0,61.0,61.0,63.0,52.0
R. O'Donovan,9.4,40.0,54.0,64.0,63.0,44.0
C. Ezeh,10.0,39.0,61.0,58.0,65.0,49.0
Y. Herrera,8.8,67.0,64.0,60.0,60.0,64.0
M. Hofrath,12.6,61.0,57.0,53.0,56.0,64.0
N. Dibble,10.0,37.0,61.0,64.0,62.0,42.0
R. Gigolaev,7.4,61.0,64.0,62.0,64.0,63.0
G. Allison,64.8,,,,,
E. Scheel,10.2,47.0,62.0,60.0,63.0,52.0
J. Varela,11.6,40.0,58.0,58.0,66.0,51.0
Bruno Leite,12.4,58.0,64.0,58.0,63.0,62.0
D. Lewington,12.6,67.0,61.0,51.0,54.0,64.0
L. Villarruel,12.8,61.0,62.0,52.0,58.0,63.0
S. Drewniak,10.6,62.0,64.0,58.0,60.0,65.0
D. Novoa,65.4,,,,,
L. Pérez,11.0,41.0,56.0,64.0,63.0,47.0
A. Lutego,16.0,59.0,64.0,54.0,59.0,59.0
F. Picault,8.0,38.0,55.0,65.0,67.0,46.0
Davidson,8.2,46.0,61.0,61.0,65.0,53.0
A. Hrustic,7.4,46.0,61.0,61.0,64.0,51.0
A. Corzo,10.8,60.0,53.0,48.0,52.0,64.0
H. Savran,10.6,44.0,57.0,64.0,63.0,47.0
E. Capradossi,9.6,64.0,38.0,37.0,34.0,58.0
F. Le Joncour,10.0,64.0,42.0,44.0,40.0,58.0
Diogo Queirós,10.6,64.0,47.0,46.0,45.0,59.0
G. Maggiore,7.4,61.0,64.0,57.0,59.0,61.0
H. Arslan,12.4,63.0,65.0,64.0,64.0,63.0
A. Rossi,8.4,42.0,54.0,64.0,60.0,43.0
L. Kelly,11.4,63.0,64.0,61.0,62.0,64.0
L. Zingerle,63.6,,,,,
José Perales,65.2,,,,,
M. Ćosić,8.0,64.0,51.0,48.0,45.0,58.0
S. Ryall,10.6,64.0,59.0,59.0,60.0,63.0
M. Jiménez,65.4,,,,,
B. Samba,62.6,,,,,
M. Aaquist,11.0,58.0,60.0,60.0,65.0,61.0
R. Lameiras,12.0,49.0,61.0,57.0,64.0,54.0
M. Sadler,10.2,64.0,59.0,52.0,55.0,61.0
S. Sarr,8.0,66.0,62.0,63.0,57.0,61.0
J. Aguilar,11.0,40.0,56.0,65.0,65.0,46.0
O. Bagüí,12.0,67.0,51.0,49.0,51.0,64.0
Yoo Hyun,65.2,,,,,
A. Acosta,12.2,63.0,66.0,60.0,65.0,64.0
J. Malagón,9.0,64.0,42.0,41.0,37.0,58.0
S. Bannigan,12.2,61.0,65.0,60.0,63.0,63.0
Leandrinho,11.6,32.0,55.0,63.0,65.0,41.0
D. Petković,65.4,,,,,
J. Coppens,64.8,,,,,
C. Källqvist,65.0,,,,,
F. Doré,9.0,40.0,54.0,64.0,61.0,43.0
Fran Rodríguez,10.2,60.0,56.0,57.0,59.0,64.0
B. Kallman,11.2,64.0,50.0,48.0,43.0,57.0
K. Coulibaly,10.4,52.0,59.0,61.0,64.0,56.0
R. Vera,11.6,64.0,49.0,49.0,44.0,57.0
A. Østli,12.2,64.0,54.0,51.0,49.0,59.0
K. Walker-Peters,9.4,61.0,56.0,52.0,58.0,64.0
J. Müller,11.0,45.0,58.0,61.0,63.0,53.0
Lim Min Hyuk,8.8,41.0,61.0,59.0,64.0,49.0
G. Balažic,11.2,64.0,50.0,45.0,43.0,59.0
A. Faltsetas,8.8,67.0,64.0,59.0,59.0,66.0
M. Amini,14.4,57.0,64.0,60.0,62.0,57.0
E. Digbeu,10.6,63.0,60.0,53.0,59.0,64.0
P. Müller,9.0,37.0,56.0,60.0,64.0,47.0
R. Gojani,7.0,51.0,64.0,55.0,62.0,56.0
S. Bueno,9.0,64.0,43.0,40.0,36.0,59.0
S. Kleineheismann,11.6,64.0,54.0,52.0,48.0,58.0
Kim Min Hyeok,9.6,43.0,64.0,62.0,62.0,45.0
M. Jensen,9.6,54.0,64.0,58.0,65.0,60.0
L. Strizzolo,9.6,35.0,47.0,64.0,56.0,36.0
J. Cox,10.8,37.0,45.0,64.0,53.0,35.0
T. Röttger,11.8,47.0,56.0,64.0,64.0,52.0
Z. Valentin,11.4,65.0,60.0,56.0,57.0,64.0
H. Shaian,63.6,,,,,
F. Álvarez,12.4,63.0,55.0,54.0,55.0,64.0
Park Yong Woo,12.4,64.0,61.0,58.0,54.0,58.0
J. Derstroff,11.2,37.0,57.0,65.0,66.0,44.0
De La Hoz,10.6,64.0,57.0,46.0,48.0,62.0
H. Bjørdal,10.6,58.0,63.0,61.0,64.0,59.0
A. Hadžiahmetović,11.4,62.0,66.0,61.0,62.0,62.0
S. Maierhofer,11.6,58.0,48.0,64.0,49.0,49.0
C. Ramsebner,9.2,64.0,42.0,44.0,38.0,55.0
Freire,9.6,64.0,49.0,45.0,43.0,58.0
O. Mangala,7.4,56.0,64.0,56.0,64.0,61.0
B. Lennon,7.4,42.0,58.0,63.0,65.0,49.0
P. Sohm,9.8,38.0,59.0,62.0,65.0,47.0
B. Figueroa,10.6,36.0,56.0,63.0,64.0,43.0
D. Briceño,8.6,64.0,45.0,42.0,41.0,58.0
K. Thiam,10.2,65.0,62.0,60.0,59.0,63.0
N. Ampomah,9.8,38.0,57.0,60.0,65.0,45.0
J. Orlov,12.4,43.0,58.0,64.0,60.0,44.0
J. Gyamerah,12.6,62.0,58.0,50.0,57.0,64.0
A. Doukha,64.2,,,,,
T. Rodríguez,8.6,49.0,59.0,60.0,64.0,54.0
J. Izumisawa,9.8,46.0,61.0,59.0,64.0,53.0
M. Connolly,10.2,64.0,51.0,41.0,40.0,58.0
Jeong Dong Ho,11.2,63.0,58.0,51.0,59.0,64.0
M. Pitton,13.4,63.0,61.0,57.0,59.0,65.0
L. Blessing,10.8,43.0,59.0,63.0,65.0,50.0
T. Al Absi,11.4,64.0,46.0,42.0,41.0,58.0
M. Moscati,9.6,59.0,64.0,56.0,61.0,64.0
V. Kravets,8.8,64.0,48.0,48.0,52.0,64.0
K. Kikuchi,12.8,64.0,57.0,56.0,54.0,63.0
Kim Dae Jung,9.8,64.0,49.0,49.0,42.0,55.0
L. Coyle,10.2,61.0,59.0,52.0,58.0,64.0
F. Crivelli,63.6,,,,,
J. Amoroso,12.4,44.0,59.0,64.0,64.0,49.0
A. Iunco,12.8,35.0,60.0,64.0,67.0,43.0
Diego Alende,11.4,64.0,46.0,42.0,41.0,58.0
Ruca,9.4,67.0,65.0,65.0,64.0,64.0
S. Silva,9.6,41.0,59.0,64.0,67.0,48.0
M. Edwards,11.0,38.0,59.0,59.0,65.0,47.0
S. Lagrou,11.4,60.0,60.0,58.0,62.0,64.0
M. Exslager,11.0,51.0,53.0,64.0,62.0,50.0
A. Al Hafith,10.8,64.0,50.0,46.0,44.0,59.0
R. Garbuschewski,12.8,39.0,60.0,63.0,65.0,46.0
Lee Myung Jae,12.8,62.0,59.0,53.0,61.0,64.0
P. Koch,10.0,62.0,56.0,52.0,56.0,64.0
V. Osimhen,10.6,39.0,50.0,64.0,60.0,42.0
Jean Cleber,8.8,65.0,57.0,53.0,54.0,62.0
T. Salamon,11.4,60.0,62.0,59.0,63.0,64.0
K. Alston,12.6,63.0,57.0,57.0,58.0,64.0
D. McMillan,10.4,41.0,53.0,64.0,60.0,42.0
A. Corryn,10.2,61.0,59.0,49.0,56.0,64.0
S. Roux,11.6,63.0,57.0,58.0,61.0,64.0
G. De Feo,8.6,36.0,58.0,61.0,65.0,46.0
R. Bayard,11.4,44.0,60.0,64.0,65.0,49.0
L. Röser,9.0,38.0,54.0,64.0,61.0,42.0
K. Falkenberg,12.2,62.0,59.0,55.0,59.0,64.0
D. Jiménez,13.0,43.0,58.0,66.0,65.0,48.0
S. Moore,63.0,,,,,
O. Threlkeld,12.2,64.0,59.0,58.0,58.0,64.0
L. Esqueda,9.2,64.0,62.0,58.0,61.0,64.0
G. Acampora,12.4,57.0,64.0,61.0,63.0,60.0
M. Mount,11.2,46.0,62.0,57.0,64.0,52.0
P. Funk,12.4,64.0,62.0,57.0,59.0,65.0
H. Bunn,11.0,49.0,60.0,65.0,65.0,50.0
C. Sammon,11.4,53.0,57.0,64.0,60.0,50.0
C. Cato,9.6,60.0,60.0,62.0,65.0,64.0
A. Nabbout,10.8,43.0,56.0,65.0,64.0,47.0
G. Esparza,10.2,50.0,60.0,59.0,64.0,58.0
P. Mišák,11.0,50.0,61.0,59.0,63.0,56.0
M. Bíttolo,12.0,61.0,52.0,51.0,56.0,64.0
F. Rawson,10.2,64.0,41.0,41.0,37.0,56.0
Kevin,12.8,60.0,55.0,56.0,59.0,64.0
M. Ørnskov,13.4,66.0,64.0,59.0,59.0,64.0
L. Berry,12.2,59.0,63.0,63.0,64.0,60.0
A. Kamara,11.2,42.0,50.0,64.0,59.0,42.0
B. Geens,62.8,,,,,
M. Halsti,12.0,64.0,61.0,54.0,51.0,59.0
M. Ilaimaharitra,11.2,63.0,60.0,51.0,53.0,63.0
F. Grillo,12.0,65.0,54.0,52.0,56.0,64.0
Patrão,12.2,57.0,64.0,60.0,62.0,58.0
K. Nwakali,10.8,47.0,60.0,60.0,64.0,52.0
J. Sudić,10.6,64.0,48.0,43.0,40.0,54.0
D. Gissi,12.2,64.0,58.0,55.0,55.0,61.0
N. Cameron,12.2,64.0,47.0,45.0,42.0,59.0
R. Edwards,11.4,64.0,46.0,45.0,42.0,59.0
D. Mangni,9.6,36.0,53.0,64.0,62.0,41.0
S. Ferguson,7.6,63.0,60.0,61.0,64.0,65.0
J. Nilsson,11.4,64.0,51.0,47.0,46.0,59.0
P. Fryc,11.2,61.0,57.0,54.0,56.0,64.0
Y. Attal,9.4,62.0,57.0,49.0,57.0,64.0
R. Godínez,10.0,64.0,54.0,51.0,52.0,62.0
Tarsi,9.2,56.0,64.0,55.0,60.0,57.0
Ezkieta,63.6,,,,,
F. Lanzillotta,64.6,,,,,
M. Fink,11.2,63.0,59.0,50.0,57.0,64.0
M. Mikovič,11.0,42.0,59.0,63.0,64.0,48.0
A. Collin,63.4,,,,,
D. Rose,10.2,57.0,64.0,60.0,62.0,60.0
J. Tosik,12.2,67.0,59.0,55.0,56.0,64.0
T. Morita,65.0,,,,,
S. Żurkowski,9.2,61.0,64.0,59.0,61.0,62.0
S. Kukuruzović,9.0,50.0,64.0,63.0,65.0,55.0
A. Al Mutairi,11.4,37.0,60.0,61.0,62.0,43.0
Lasure,10.0,65.0,55.0,52.0,55.0,64.0
Evandro,10.6,40.0,53.0,64.0,62.0,43.0
P. Taylor,10.0,39.0,58.0,64.0,66.0,47.0
W. Suwayyid,10.2,61.0,61.0,57.0,60.0,64.0
I. Radu,65.8,,,,,
P. Estupiñán,9.8,60.0,55.0,49.0,54.0,64.0
L. Martínez,8.2,65.0,64.0,57.0,60.0,63.0
N. Clarke,10.6,64.0,47.0,40.0,38.0,56.0
José Cruz,10.4,64.0,56.0,46.0,46.0,61.0
C. Curran,13.6,45.0,58.0,64.0,63.0,47.0
S. López,61.8,,,,,
F. Angileri,8.8,43.0,57.0,59.0,63.0,51.0
J. Bager,11.2,64.0,48.0,45.0,47.0,63.0
A. Vetrih,10.4,60.0,64.0,59.0,61.0,60.0
K. Pannewitz,8.0,64.0,65.0,60.0,59.0,58.0
B. Kopacz,11.6,64.0,43.0,47.0,40.0,55.0
H. Patronen,12.6,64.0,47.0,49.0,42.0,56.0
F. Cristaldo,12.0,61.0,64.0,58.0,62.0,61.0
T. Parkes,7.6,64.0,53.0,48.0,48.0,59.0
S. Lovric,10.6,62.0,62.0,55.0,56.0,60.0
N. Butzen,10.2,59.0,60.0,56.0,61.0,65.0
N. Di Roberto,9.2,41.0,57.0,62.0,65.0,48.0
G. Zelalem,11.8,49.0,64.0,57.0,62.0,55.0
R. Brown,11.8,47.0,62.0,57.0,64.0,54.0
F. Escobar,11.2,64.0,53.0,51.0,54.0,64.0
D. Zeefuik,7.4,65.0,59.0,56.0,59.0,64.0
S. Salviato,11.0,65.0,55.0,56.0,55.0,64.0
R. Dow,13.6,39.0,56.0,61.0,65.0,46.0
S. Adekugbe,10.4,62.0,57.0,55.0,59.0,64.0
P. Foden,10.4,50.0,62.0,59.0,63.0,57.0
A. Poggenborg,61.8,,,,,
E. Gómez,12.2,62.0,54.0,51.0,56.0,64.0
M. Finotto,11.0,38.0,55.0,64.0,63.0,46.0
K. Sadlier,10.0,46.0,60.0,62.0,64.0,52.0
T. Hołota,10.6,64.0,61.0,59.0,58.0,62.0
D. Payne,11.2,64.0,52.0,48.0,53.0,64.0
J. Lillis,64.8,,,,,
P. Rosario,9.0,66.0,64.0,61.0,60.0,63.0
Sim Sang Min,11.0,62.0,62.0,57.0,64.0,65.0
I. Diallo,10.4,64.0,47.0,46.0,46.0,60.0
Choi Kyu Baek,10.0,64.0,49.0,43.0,41.0,60.0
E. Palos,61.6,,,,,
M. Rojas,9.0,33.0,57.0,59.0,65.0,45.0
Pedro Silva,62.4,,,,,
D. Khomich,64.8,,,,,
Kim Dong Jin,9.4,64.0,48.0,44.0,45.0,60.0
G. Montoya,63.2,,,,,
Paulo Otávio,9.8,56.0,60.0,55.0,63.0,64.0
A. Al Shammari,9.8,61.0,56.0,52.0,56.0,64.0
E. Bajrami,13.4,43.0,58.0,62.0,66.0,47.0
T. Elliott,13.6,46.0,49.0,64.0,59.0,45.0
R. Salinas,10.0,44.0,51.0,64.0,57.0,42.0
M. Castro,62.8,,,,,
M. Dumbuya,11.6,62.0,56.0,51.0,58.0,64.0
S. Benyamina,11.4,42.0,50.0,64.0,57.0,40.0
J. Quiroga,10.8,67.0,58.0,56.0,56.0,64.0
S. Tronstad,12.6,52.0,62.0,58.0,63.0,57.0
T. Lapslie,10.6,64.0,61.0,56.0,56.0,63.0
J. Rivas,10.8,64.0,45.0,44.0,40.0,56.0
N. Freire,11.2,64.0,44.0,44.0,42.0,57.0
V. Demarconnay,64.0,,,,,
C. Chaplin,13.0,44.0,57.0,64.0,65.0,51.0
V. Mogos,11.0,62.0,55.0,60.0,60.0,64.0
N. Bandiera,9.4,33.0,57.0,63.0,65.0,41.0
C. Handke,10.4,64.0,42.0,41.0,35.0,56.0
R. Allsop,63.8,,,,,
Gus Ledes,10.4,55.0,64.0,60.0,65.0,60.0
M. Lowe,10.6,64.0,59.0,55.0,58.0,64.0
D. Dussaut,12.0,63.0,58.0,53.0,58.0,64.0
T. Schwede,9.8,40.0,58.0,59.0,64.0,49.0
J. Adebanjo,10.4,68.0,59.0,62.0,59.0,63.0
G. Piesio,11.8,53.0,60.0,62.0,63.0,56.0
B. Sankoh,10.2,68.0,54.0,47.0,51.0,65.0
L. Chiaretti,8.4,31.0,56.0,61.0,65.0,41.0
M. Petrasso,11.0,45.0,59.0,58.0,65.0,51.0
T. Lumanza,9.8,63.0,64.0,59.0,61.0,63.0
G. Evans,9.4,61.0,61.0,65.0,65.0,64.0
Jean Carlos,9.0,44.0,61.0,61.0,65.0,48.0
G. Nijholt,8.2,58.0,64.0,62.0,62.0,59.0
D. Albadoro,9.8,40.0,55.0,64.0,62.0,42.0
A. Aguilar,62.6,,,,,
A. Salugin,12.0,46.0,52.0,64.0,57.0,45.0
L. Olaza,11.2,60.0,61.0,59.0,62.0,64.0
Alex Rodríguez,10.4,62.0,64.0,58.0,61.0,61.0
I. Azemi,9.8,43.0,53.0,64.0,58.0,40.0
M. Mehlem,11.0,51.0,61.0,57.0,64.0,56.0
F. Margiotta,13.2,34.0,53.0,64.0,59.0,36.0
M. Ali Yakoubi,8.0,64.0,58.0,50.0,52.0,62.0
J. Onguéné,11.8,64.0,43.0,43.0,39.0,57.0
C. Landu Landu,13.4,65.0,59.0,54.0,54.0,63.0
A. Pavlović,10.8,37.0,52.0,64.0,60.0,39.0
M. Ullmann,9.6,61.0,60.0,57.0,60.0,64.0
K. Guédé,7.8,63.0,60.0,64.0,57.0,59.0
A. Ponroy,12.6,64.0,47.0,44.0,42.0,57.0
A. Østbø,63.2,,,,,
J. Mills,13.2,61.0,60.0,56.0,62.0,64.0
R. Bocalon,13.0,44.0,53.0,64.0,59.0,47.0
R. Riski,13.4,49.0,55.0,64.0,64.0,55.0
L. Clarke,9.0,47.0,55.0,64.0,59.0,44.0
Toni Villa,11.6,49.0,63.0,54.0,62.0,54.0
R. Rep,12.2,36.0,58.0,58.0,62.0,45.0
M. Giordano,65.6,,,,,
M. Lucero,9.6,42.0,60.0,62.0,65.0,50.0
J. Al-Hazaimeh,12.0,64.0,53.0,54.0,53.0,64.0
A. Wailbi,8.8,62.0,59.0,60.0,61.0,64.0
H. Sakhi,12.2,53.0,62.0,55.0,64.0,59.0
D. Holm,11.4,54.0,64.0,63.0,65.0,55.0
S. Supple,64.2,,,,,
E. Legati,9.0,64.0,45.0,46.0,41.0,57.0
C. Ben Saada,13.0,49.0,61.0,63.0,65.0,53.0
T. Erat,13.4,62.0,63.0,63.0,63.0,63.0
Y. Otayn,11.4,64.0,57.0,48.0,52.0,62.0
D. Arapov,65.2,,,,,
I. Boggino,8.6,64.0,43.0,40.0,36.0,54.0
Y. Maruyama,7.8,64.0,55.0,50.0,51.0,64.0
B. Jatta,8.6,39.0,55.0,59.0,65.0,46.0
I. Ouédraogo,11.8,38.0,51.0,64.0,63.0,43.0
P. Azogue,10.4,62.0,64.0,57.0,62.0,66.0
D. Atanga,10.0,45.0,58.0,58.0,63.0,53.0
J. van der Heyden,12.0,60.0,64.0,59.0,60.0,59.0
R. Ogawa,9.8,61.0,55.0,54.0,57.0,64.0
K. Dougall,10.6,62.0,63.0,55.0,60.0,63.0
T. Nocchi,61.2,,,,,
M. Ahlschwede,9.8,64.0,50.0,47.0,49.0,64.0
J. Lolley,12.8,46.0,60.0,61.0,65.0,52.0
D. Rodríguez,10.4,54.0,64.0,62.0,66.0,59.0
E. Güral,9.0,45.0,60.0,67.0,64.0,46.0
A. Gerrard,12.0,64.0,48.0,42.0,38.0,55.0
K. N'Doram,11.6,67.0,53.0,45.0,44.0,62.0
K. Yoshimoto,9.4,64.0,57.0,53.0,52.0,59.0
